
"NAME","VERSION","DETECTED_USAGES","CURRENTLY_USED","LAST_USAGE"
"Hybrid Columnar Compression Row Level Locking","21.0.0.0.0",0,"FALSE",
"INSTANT RESTORE command","21.0.0.0.0",0,"FALSE",
"In-Memory ADO Policies","21.0.0.0.0",0,"FALSE",
"In-Memory Aggregation","21.0.0.0.0",0,"FALSE",
"In-Memory Base Level","21.0.0.0.0",0,"FALSE",
"In-Memory Column Store","21.0.0.0.0",0,"FALSE",
"In-Memory Distribute For Service (User Defined)","21.0.0.0.0",0,"FALSE",
"In-Memory Expressions","21.0.0.0.0",0,"FALSE",
"In-Memory FastStart","21.0.0.0.0",0,"FALSE",
"In-Memory Join Groups","21.0.0.0.0",0,"FALSE",
"Index Organized Tables","21.0.0.0.0",0,"FALSE",
"Information Lifecycle Management","21.0.0.0.0",0,"FALSE",
"Instance Caging","21.0.0.0.0",0,"FALSE",
"Internode Parallel Execution","21.0.0.0.0",0,"FALSE",
"JDBC OCI","21.0.0.0.0",0,"FALSE",
"JDBC Thin","21.0.0.0.0",0,"FALSE",
"JSON","21.0.0.0.0",0,"FALSE",
"Job Scheduler","21.0.0.0.0",0,"FALSE",
"LOB","21.0.0.0.0",0,"FALSE",
"Label Security","21.0.0.0.0",0,"FALSE",
"Locally Managed Tablespaces (system)","21.0.0.0.0",0,"FALSE",
"Locally Managed Tablespaces (user)","21.0.0.0.0",0,"FALSE",
"Locator","21.0.0.0.0",0,"FALSE",
"Logfile Multiplexing","21.0.0.0.0",0,"FALSE",
"Long-term Archival Backup","21.0.0.0.0",0,"FALSE",
"MTTR Advisor","21.0.0.0.0",0,"FALSE",
"Materialized Views (User)","21.0.0.0.0",0,"FALSE",
"Messaging Gateway","21.0.0.0.0",0,"FALSE",
"Multi Section Backup","21.0.0.0.0",0,"FALSE",
"Multiple Block Sizes","21.0.0.0.0",0,"FALSE",
"OCCI","21.0.0.0.0",0,"FALSE",
"ODA Infrastructure","21.0.0.0.0",0,"FALSE",
"ODBC","21.0.0.0.0",0,"FALSE",
"ODP.Net, Managed Driver","21.0.0.0.0",0,"FALSE",
"ODP.Net, Unmanaged Driver","21.0.0.0.0",0,"FALSE",
"OLAP - Analytic Workspaces","21.0.0.0.0",0,"FALSE",
"OLAP - Cubes","21.0.0.0.0",0,"FALSE",
"Object","21.0.0.0.0",0,"FALSE",
"Online Move Datafile","21.0.0.0.0",0,"FALSE",
"Online Redefinition","21.0.0.0.0",0,"FALSE",
"Oracle Advanced Network Compression Service","21.0.0.0.0",0,"FALSE",
"Oracle Call Interface (OCI)","21.0.0.0.0",0,"FALSE",
"Oracle Database Vault","21.0.0.0.0",0,"FALSE",
"Oracle In-Database Hadoop","21.0.0.0.0",0,"FALSE",
"Oracle Java Virtual Machine (system)","21.0.0.0.0",0,"FALSE",
"Oracle Java Virtual Machine (user)","21.0.0.0.0",0,"FALSE",
"Oracle Managed Files","21.0.0.0.0",0,"FALSE",
"Oracle Multimedia","21.0.0.0.0",0,"FALSE",
"Oracle Multimedia DICOM","21.0.0.0.0",0,"FALSE",
"Oracle Multitenant","21.0.0.0.0",0,"FALSE",
"Oracle Secure Backup","21.0.0.0.0",0,"FALSE",
"Oracle Text","21.0.0.0.0",0,"FALSE",
"Oracle Utility Datapump (Export)","21.0.0.0.0",0,"FALSE",
"Oracle Utility Datapump (Import)","21.0.0.0.0",0,"FALSE",
"Oracle Utility External Table (ORACLE_BIGSQL)","21.0.0.0.0",0,"FALSE",
"Oracle Utility External Table (ORACLE_DATAPUMP)","21.0.0.0.0",0,"FALSE",
"Oracle Utility External Table (ORACLE_LOADER)","21.0.0.0.0",0,"FALSE",
"Oracle Utility Metadata API","21.0.0.0.0",0,"FALSE",
"Oracle Utility SQL Loader (Direct Path Load)","21.0.0.0.0",0,"FALSE",
"PDB I/O Rate Limits","21.0.0.0.0",0,"FALSE",
"PERL DBD::Oracle","21.0.0.0.0",0,"FALSE",
"PHP OCI8","21.0.0.0.0",0,"FALSE",
"PL/SQL Native Compilation","21.0.0.0.0",0,"FALSE",
"Parallel SQL DDL Execution","21.0.0.0.0",0,"FALSE",
"Parallel SQL DML Execution","21.0.0.0.0",0,"FALSE",
"Parallel SQL Query Execution","21.0.0.0.0",0,"FALSE",
"Partitioning (system)","21.0.0.0.0",0,"FALSE",
"Partitioning (user)","21.0.0.0.0",0,"FALSE",
"Pillar Storage","21.0.0.0.0",0,"FALSE",
"Pillar Storage with EHCC","21.0.0.0.0",0,"FALSE",
"Privilege Capture","21.0.0.0.0",0,"FALSE",
"Pro*C","21.0.0.0.0",0,"FALSE",
"Pro*Cobol","21.0.0.0.0",0,"FALSE",
"Pro*Fortran","21.0.0.0.0",0,"FALSE",
"Quality of Service Management","21.0.0.0.0",0,"FALSE",
"RMAN - Disk Backup","21.0.0.0.0",0,"FALSE",
"RMAN - Tape Backup","21.0.0.0.0",0,"FALSE",
"ROracle","21.0.0.0.0",0,"FALSE",
"Read Only Tablespace","21.0.0.0.0",0,"FALSE",
"Real Application Cluster One Node","21.0.0.0.0",0,"FALSE",
"Real Application Clusters (RAC)","21.0.0.0.0",0,"FALSE",
"Real Application Security","21.0.0.0.0",0,"FALSE",
"Real-Time SQL Monitoring","21.0.0.0.0",0,"FALSE",
"Recover Table","21.0.0.0.0",0,"FALSE",
"Recover Until Snapshot","21.0.0.0.0",0,"FALSE",
"Recovery Area","21.0.0.0.0",0,"FALSE",
"Recovery Manager (RMAN)","21.0.0.0.0",0,"FALSE",
"Resource Manager","21.0.0.0.0",0,"FALSE",
"Restore Point","21.0.0.0.0",0,"FALSE",
"Result Cache","21.0.0.0.0",0,"FALSE",
"Ruby-oci8","21.0.0.0.0",0,"FALSE",
"Rules Manager","21.0.0.0.0",0,"FALSE",
"SPM Evolve Advisor","21.0.0.0.0",0,"FALSE",
"SQL Access Advisor","21.0.0.0.0",0,"FALSE",
"SQL Monitoring and Tuning pages","21.0.0.0.0",0,"FALSE",
"SQL Performance Analyzer","21.0.0.0.0",0,"FALSE",
"SQL Plan Directive","21.0.0.0.0",0,"FALSE",
"SQL Plan Management","21.0.0.0.0",0,"FALSE",
"SQL Profile","21.0.0.0.0",0,"FALSE",
"SQL Repair Advisor","21.0.0.0.0",0,"FALSE",
"SQL Tuning Advisor","21.0.0.0.0",0,"FALSE",
"SQL Tuning Set (system)","21.0.0.0.0",0,"FALSE",
"SQL Tuning Set (user)","21.0.0.0.0",0,"FALSE",
"SQL Workload Manager","21.0.0.0.0",0,"FALSE",
"SQL*Plus","21.0.0.0.0",0,"FALSE",
"Scrollable Cursors","21.0.0.0.0",0,"FALSE",
"SecureFile Compression (system)","21.0.0.0.0",0,"FALSE",
"SecureFile Compression (user)","21.0.0.0.0",0,"FALSE",
"SecureFile Deduplication (system)","21.0.0.0.0",0,"FALSE",
"SecureFile Deduplication (user)","21.0.0.0.0",0,"FALSE",
"SecureFile Encryption (system)","21.0.0.0.0",0,"FALSE",
"SecureFile Encryption (user)","21.0.0.0.0",0,"FALSE",
"SecureFiles (system)","21.0.0.0.0",0,"FALSE",
"SecureFiles (user)","21.0.0.0.0",0,"FALSE",
"Segment Advisor (user)","21.0.0.0.0",0,"FALSE",
"Segment Maintenance Online Compress","21.0.0.0.0",0,"FALSE",
"Segment Shrink","21.0.0.0.0",0,"FALSE",
"Semantics/RDF","21.0.0.0.0",0,"FALSE",
"Server Flash Cache","21.0.0.0.0",0,"FALSE",
"Server Parameter File","21.0.0.0.0",0,"FALSE",
"Services","21.0.0.0.0",0,"FALSE",
"Shard Database","21.0.0.0.0",0,"FALSE",
"Sharding Catalog","21.0.0.0.0",0,"FALSE",
"Shared Server","21.0.0.0.0",0,"FALSE",
"Spatial","21.0.0.0.0",0,"FALSE",
"Standard Edition High Availability","21.0.0.0.0",0,"FALSE",
"Statistics Advisor","21.0.0.0.0",0,"FALSE",
"Streams (system)","21.0.0.0.0",0,"FALSE",
"Streams (user)","21.0.0.0.0",0,"FALSE",
"Sun ZFS with EHCC","21.0.0.0.0",0,"FALSE",
"TRANSPORT TABLESPACE command","21.0.0.0.0",0,"FALSE",
"Thin Provisioning","21.0.0.0.0",0,"FALSE",
"Traditional Audit","21.0.0.0.0",0,"FALSE",
"Transparent Data Encryption","21.0.0.0.0",0,"FALSE",
"Transparent Gateway","21.0.0.0.0",0,"FALSE",
"Transparent Sensitive Data Protection","21.0.0.0.0",0,"FALSE",
"Transportable Tablespace","21.0.0.0.0",0,"FALSE",
"Tune MView","21.0.0.0.0",0,"FALSE",
"Undo Advisor","21.0.0.0.0",0,"FALSE",
"Unified Audit","21.0.0.0.0",0,"FALSE",
"Very Large Memory","21.0.0.0.0",0,"FALSE",
"Virtual Private Database (VPD)","21.0.0.0.0",0,"FALSE",
"Workspace Manager","21.0.0.0.0",0,"FALSE",
"XDB","21.0.0.0.0",0,"FALSE",
"XStream In","21.0.0.0.0",0,"FALSE",
"XStream Out","21.0.0.0.0",0,"FALSE",
"XStream Streams","21.0.0.0.0",0,"FALSE",
"ZFS Storage","21.0.0.0.0",0,"FALSE",
"Zone maps","21.0.0.0.0",0,"FALSE",
"Zonemap Advisor","21.0.0.0.0",0,"FALSE",
"cx_Oracle","21.0.0.0.0",0,"FALSE",
"node-oraceldb","21.0.0.0.0",0,"FALSE",
