
"OWNER","NAME","TYPE","LINE","TEXT"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",21,"        l_rows t_rows;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",22,"    BEGIN
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",23,"        OPEN c_regions;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",24,"        FETCH c_regions BULK COLLECT INTO l_rows;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",25,"        CLOSE c_regions;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",26,"        FOR i IN 1 .. l_rows.COUNT LOOP
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",27,"            EXECUTE IMMEDIATE
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",28,"                'UPDATE staging_rows SET payload = :1 WHERE row_id = :2'
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",29,"                USING l_rows(i).region, i;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",30,"        END LOOP;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",31,"    END rollup_day;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",32,"
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",33,"-- Package initialization: runs once per session on first reference,
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",34,"-- a behavior PostgreSQL has no counterpart for.
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",35,"BEGIN
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",36,"    SELECT NVL(MAX(audit_id), 0) + 1 INTO g_run_id FROM audit_log;
"
"RECON_TEST","PKG_LEDGER","PACKAGE BODY",37,"END pkg_ledger;"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",1,"TRIGGER trg_emp_audit
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",2,"AFTER INSERT OR UPDATE OR DELETE ON emp
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",3,"FOR EACH ROW
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",4,"DECLARE
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",5,"    PRAGMA AUTONOMOUS_TRANSACTION;
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",6,"    l_action VARCHAR2(10);
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",7,"BEGIN
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",8,"    l_action := CASE
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",9,"        WHEN INSERTING THEN 'INSERT'
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",10,"        WHEN UPDATING  THEN 'UPDATE'
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",11,"        ELSE 'DELETE'
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",12,"    END;
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",13,"    INSERT INTO audit_log (table_name, action, actor)
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",14,"    VALUES ('EMP', l_action, USER);
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",15,"    COMMIT;
"
"RECON_TEST","TRG_EMP_AUDIT","TRIGGER",16,"END trg_emp_audit;"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",1,"TRIGGER trg_emp_sal_guard
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",2,"FOR INSERT OR UPDATE OF sal ON emp
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",3,"COMPOUND TRIGGER
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",4,"    g_stmt_start DATE;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",5,"
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",6,"    BEFORE STATEMENT IS
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",7,"    BEGIN
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",8,"        g_stmt_start := SYSDATE;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",9,"    END BEFORE STATEMENT;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",10,"
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",11,"    BEFORE EACH ROW IS
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",12,"    BEGIN
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",13,"        IF :NEW.sal > 10000 THEN
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",14,"            :NEW.comm := 0;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",15,"        END IF;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",16,"    END BEFORE EACH ROW;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",17,"
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",18,"    AFTER EACH ROW IS
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",19,"    BEGIN
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",20,"        NULL;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",21,"    END AFTER EACH ROW;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",22,"
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",23,"    AFTER STATEMENT IS
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",24,"    BEGIN
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",25,"        NULL;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",26,"    END AFTER STATEMENT;
"
"RECON_TEST","TRG_EMP_SAL_GUARD","TRIGGER",27,"END trg_emp_sal_guard;"
"RECON_TEST","T_MONEY","TYPE",1,"TYPE t_money AS OBJECT (
"
"RECON_TEST","T_MONEY","TYPE",2,"    amount   NUMBER(14,2),
"
"RECON_TEST","T_MONEY","TYPE",3,"    currency VARCHAR2(3),
"
"RECON_TEST","T_MONEY","TYPE",4,"    MEMBER FUNCTION in_currency (rate NUMBER) RETURN NUMBER
"
"RECON_TEST","T_MONEY","TYPE",5,");"
"RECON_TEST","T_MONEY","TYPE BODY",1,"TYPE BODY t_money AS
"
"RECON_TEST","T_MONEY","TYPE BODY",2,"    MEMBER FUNCTION in_currency (rate NUMBER) RETURN NUMBER IS
"
"RECON_TEST","T_MONEY","TYPE BODY",3,"    BEGIN
"
"RECON_TEST","T_MONEY","TYPE BODY",4,"        RETURN ROUND(amount * rate, 2);
"
"RECON_TEST","T_MONEY","TYPE BODY",5,"    END;
"
"RECON_TEST","T_MONEY","TYPE BODY",6,"END;"
